workload,query_id,access_latency_ms,baseline_latency_ms,prefetch_cost_ms,est_ttft_ms,reward,n_prefetched,n_useful
prefix,1,79.80000000000001,79.80000000000001,0.0,26.6,0.0,0,0
prefix,2,0.11843498214147985,0.30000000000000004,0.0,0.05276998854242265,0.1815650178585202,0,0
prefix,3,0.1013340224744752,0.30000000000000004,0.0,0.03829400520771742,0.19866597752552484,0,0
prefix,4,0.10416298755444586,0.30000000000000004,0.0,0.03923098847735673,0.19583701244555418,0,0
prefix,5,0.10278198169544339,0.30000000000000004,0.0,0.03883500176016241,0.19721801830455665,0,0
prefix,6,0.09864200546871871,0.30000000000000004,0.0,0.0373960065189749,0.20135799453128134,0,0
prefix,7,0.0918460136745125,0.30000000000000004,0.0,0.034002005122601986,0.20815398632548754,0,0
prefix,8,0.090687011834234,0.30000000000000004,0.0,0.033289994462393224,0.20931298816576605,0,0
prefix,9,0.0904480111785233,0.30000000000000004,0.0,0.03285901038907468,0.20955198882147674,0,0
prefix,10,0.09283899271395057,0.30000000000000004,0.0,0.03541799378581345,0.20716100728604947,0,0
prefix,11,0.09057200804818422,0.30000000000000004,0.0,0.03312699845992029,0.20942799195181583,0,0
prefix,12,0.09010899520944804,0.30000000000000004,0.0,0.032791998819448054,0.209891004790552,0,0
prefix,13,0.09064699406735599,0.30000000000000004,0.0,0.033262011129409075,0.20935300593264405,0,0
prefix,14,0.09103701449930668,0.30000000000000004,0.0,0.03338200622238219,0.20896298550069337,0,0
prefix,15,0.09244499960914254,0.30000000000000004,0.0,0.034598997444845736,0.2075550003908575,0,0
prefix,16,0.09129599493462592,0.30000000000000004,0.0,0.03409999771974981,0.20870400506537412,0,0
prefix,17,0.10279100388288498,0.30000000000000004,0.0,0.038712008972652256,0.19720899611711507,0,0
prefix,18,0.10071200085803866,0.30000000000000004,0.0,0.0377690012101084,0.19928799914196138,0,0
prefix,19,0.09899400174617767,0.30000000000000004,0.0,0.03599699994083494,0.20100599825382237,0,0
prefix,20,0.1002770004561171,0.30000000000000004,0.0,0.03711300087161362,0.19972299954388295,0,0
prefix,21,0.1003090146696195,0.30000000000000004,0.0,0.037210003938525915,0.19969098533038054,0,0
prefix,22,0.10023599315900356,0.30000000000000004,0.0,0.03735299105755985,0.1997640068409965,0,0
prefix,23,0.10099700011778623,0.30000000000000004,0.0,0.0378480035578832,0.19900299988221382,0,0
prefix,24,0.10306799958925694,0.30000000000000004,0.0,0.03765099972952157,0.1969320004107431,0,0
