episode,total_reward,hit_rate_pct,prefetch_accuracy_pct,total_prefetches,useful_prefetches,avg_measured_latency_ms,avg_baseline_latency_ms,total_measured_latency_ms,total_baseline_latency_ms,latency_reduction_pct,avg_ttft_ms,median_ttft_ms,p95_ttft_ms,tier_L1,tier_L2,tier_L3,tier_MISS,tier_L1_pct,tier_L2_pct,tier_L3_pct,tier_MISS_pct,latency_L1_ms,latency_L2_ms,latency_L3_ms,latency_MISS_ms
31,17.525552484202652,85.75,0.0,34,0,32.043,31.01,1602.133,1550.5,-3.33,2.068,0.06,8.275,343,0,0,57,85.8,0.0,0.0,14.2,12.305,0.0,0.0,1516.2
32,19.175273689057413,85.75,0.0,26,0,31.65,31.01,1582.524,1550.5,-2.07,1.684,0.051,6.329,343,0,0,57,85.8,0.0,0.0,14.2,11.707,0.0,0.0,1516.2
33,18.828147726852336,85.75,0.0,29,0,31.757,31.01,1587.856,1550.5,-2.41,1.791,0.049,8.405,343,0,0,57,85.8,0.0,0.0,14.2,11.66,0.0,0.0,1516.2
34,17.36271122710255,85.75,0.0,38,0,32.141,31.01,1607.074,1550.5,-3.65,2.172,0.052,6.437,343,0,0,57,85.8,0.0,0.0,14.2,11.942,0.0,0.0,1516.2
35,18.794786064207443,85.75,0.0,29,0,31.774,31.01,1588.715,1550.5,-2.46,1.808,0.05,6.354,343,0,0,57,85.8,0.0,0.0,14.2,11.693,0.0,0.0,1516.2
36,17.91082851157569,85.75,0.0,34,0,32.076,31.01,1603.791,1550.5,-3.44,2.107,0.055,6.417,343,0,0,57,85.8,0.0,0.0,14.2,11.92,0.0,0.0,1516.2
37,18.67971693270575,85.75,0.0,28,0,31.731,31.01,1586.532,1550.5,-2.32,1.761,0.056,6.407,343,0,0,57,85.8,0.0,0.0,14.2,11.939,0.0,0.0,1516.2
38,17.994818273406775,85.75,0.0,31,0,31.85,31.01,1592.522,1550.5,-2.71,1.875,0.056,7.328,343,0,0,57,85.8,0.0,0.0,14.2,12.23,0.0,0.0,1516.2
39,16.669783351895745,85.75,0.0,38,0,32.745,31.01,1637.245,1550.5,-5.59,2.767,0.053,10.001,343,0,0,57,85.8,0.0,0.0,14.2,12.635,0.0,0.0,1516.2
40,17.213015543874807,85.75,0.0,34,0,32.085,31.01,1604.268,1550.5,-3.47,2.107,0.053,7.001,343,0,0,57,85.8,0.0,0.0,14.2,12.617,0.0,0.0,1516.2
41,16.46369631286574,85.75,0.0,41,0,32.41,31.01,1620.491,1550.5,-4.51,2.436,0.056,10.049,343,0,0,57,85.8,0.0,0.0,14.2,12.447,0.0,0.0,1516.2
42,17.873634427432425,85.75,0.0,34,0,32.013,31.01,1600.645,1550.5,-3.23,2.044,0.057,6.425,343,0,0,57,85.8,0.0,0.0,14.2,11.957,0.0,0.0,1516.2
43,17.930839294116204,85.75,0.0,35,0,32.038,31.01,1601.888,1550.5,-3.31,2.071,0.048,6.442,343,0,0,57,85.8,0.0,0.0,14.2,11.768,0.0,0.0,1516.2
44,18.209153811308337,85.75,0.0,33,0,31.942,31.01,1597.089,1550.5,-3.0,1.975,0.05,6.392,343,0,0,57,85.8,0.0,0.0,14.2,11.753,0.0,0.0,1516.2
45,18.229719756614198,85.75,0.0,33,0,31.944,31.01,1597.206,1550.5,-3.01,1.978,0.048,6.437,343,0,0,57,85.8,0.0,0.0,14.2,11.732,0.0,0.0,1516.2
46,18.567896472929345,85.75,0.0,31,0,31.869,31.01,1593.469,1550.5,-2.77,1.903,0.048,9.542,343,0,0,57,85.8,0.0,0.0,14.2,11.657,0.0,0.0,1516.2
47,18.784015784293302,85.75,0.0,29,0,31.764,31.01,1588.18,1550.5,-2.43,1.797,0.049,7.426,343,0,0,57,85.8,0.0,0.0,14.2,11.704,0.0,0.0,1516.2
48,17.793594775637544,85.75,0.0,36,0,32.075,31.01,1603.735,1550.5,-3.43,2.108,0.053,7.518,343,0,0,57,85.8,0.0,0.0,14.2,11.774,0.0,0.0,1516.2
49,18.678775729533843,85.75,0.0,30,0,31.819,31.01,1590.948,1550.5,-2.61,1.853,0.05,7.469,343,0,0,57,85.8,0.0,0.0,14.2,11.678,0.0,0.0,1516.2
50,19.16820578017525,85.75,0.0,26,0,31.643,31.01,1582.148,1550.5,-2.04,1.676,0.051,5.301,343,0,0,57,85.8,0.0,0.0,14.2,11.714,0.0,0.0,1516.2
51,17.75941289367821,85.75,0.0,28,0,31.762,31.01,1588.116,1550.5,-2.43,1.776,0.056,6.386,343,0,0,57,85.8,0.0,0.0,14.2,12.86,0.0,0.0,1516.2
52,16.65214875940485,85.75,0.0,44,0,32.407,31.01,1620.374,1550.5,-4.51,2.439,0.048,9.372,343,0,0,57,85.8,0.0,0.0,14.2,11.864,0.0,0.0,1516.2
53,17.44414448686817,85.75,0.0,38,0,32.169,31.01,1608.448,1550.5,-3.74,2.201,0.048,7.589,343,0,0,57,85.8,0.0,0.0,14.2,11.86,0.0,0.0,1516.2
54,18.158739632322234,85.75,0.0,33,0,31.941,31.01,1597.025,1550.5,-3.0,1.973,0.048,6.314,343,0,0,57,85.8,0.0,0.0,14.2,11.803,0.0,0.0,1516.2
55,19.11715736331645,85.75,0.0,27,0,31.682,31.01,1584.103,1550.5,-2.17,1.715,0.049,7.422,343,0,0,57,85.8,0.0,0.0,14.2,11.633,0.0,0.0,1516.2
56,18.952750894708707,85.75,0.0,28,0,31.735,31.01,1586.749,1550.5,-2.34,1.768,0.053,7.584,343,0,0,57,85.8,0.0,0.0,14.2,11.666,0.0,0.0,1516.2
57,17.48357326497731,85.75,0.0,38,0,32.149,31.01,1607.435,1550.5,-3.67,2.181,0.05,9.533,343,0,0,57,85.8,0.0,0.0,14.2,11.821,0.0,0.0,1516.2
58,18.17639382670239,85.75,0.0,33,0,31.947,31.01,1597.349,1550.5,-3.02,1.98,0.051,8.347,343,0,0,57,85.8,0.0,0.0,14.2,11.786,0.0,0.0,1516.2
59,17.52311546071374,85.75,0.0,38,0,32.161,31.01,1608.045,1550.5,-3.71,2.194,0.049,8.6,343,0,0,57,85.8,0.0,0.0,14.2,11.782,0.0,0.0,1516.2
60,17.91250437569358,85.75,0.0,35,0,32.024,31.01,1601.184,1550.5,-3.27,2.057,0.049,6.344,343,0,0,57,85.8,0.0,0.0,14.2,11.786,0.0,0.0,1516.2
61,17.977117178203837,85.75,0.0,31,0,31.874,31.01,1593.697,1550.5,-2.79,1.9,0.057,6.401,343,0,0,57,85.8,0.0,0.0,14.2,12.248,0.0,0.0,1516.2
62,18.417216280183123,85.75,0.0,31,0,31.868,31.01,1593.411,1550.5,-2.77,1.901,0.05,6.409,343,0,0,57,85.8,0.0,0.0,14.2,11.808,0.0,0.0,1516.2
63,18.424291319503748,85.75,0.0,31,0,31.884,31.01,1594.216,1550.5,-2.82,1.917,0.049,7.418,343,0,0,57,85.8,0.0,0.0,14.2,11.801,0.0,0.0,1516.2
64,13.534886373159821,85.75,0.0,38,0,32.926,31.01,1646.324,1550.5,-6.18,2.898,0.08,9.338,343,0,0,57,85.8,0.0,0.0,14.2,15.77,0.0,0.0,1516.2
65,12.40159587518771,85.75,0.0,36,0,32.731,31.01,1636.549,1550.5,-5.55,2.677,0.078,11.755,343,0,0,57,85.8,0.0,0.0,14.2,17.166,0.0,0.0,1516.2
66,12.126036355690445,85.75,0.0,38,0,32.849,31.01,1642.472,1550.5,-5.93,2.795,0.073,10.393,343,0,0,57,85.8,0.0,0.0,14.2,17.179,0.0,0.0,1516.2
67,13.145475694948436,85.75,0.0,30,0,32.464,31.01,1623.21,1550.5,-4.69,2.41,0.069,11.166,343,0,0,57,85.8,0.0,0.0,14.2,17.211,0.0,0.0,1516.2
68,12.760447486998034,85.75,0.0,34,0,32.702,31.01,1635.114,1550.5,-5.46,2.649,0.07,9.18,343,0,0,57,85.8,0.0,0.0,14.2,17.07,0.0,0.0,1516.2
69,13.116990488312506,85.75,0.0,31,0,32.543,31.01,1627.129,1550.5,-4.94,2.489,0.075,9.13,343,0,0,57,85.8,0.0,0.0,14.2,17.108,0.0,0.0,1516.2
70,12.857634970178868,85.75,0.0,32,0,32.614,31.01,1630.688,1550.5,-5.17,2.559,0.067,9.229,343,0,0,57,85.8,0.0,0.0,14.2,17.236,0.0,0.0,1516.2
71,12.830171213327947,85.75,0.0,32,0,32.577,31.01,1628.842,1550.5,-5.05,2.521,0.075,12.177,343,0,0,57,85.8,0.0,0.0,14.2,17.263,0.0,0.0,1516.2
72,12.87955775796507,85.75,0.0,33,0,32.597,31.01,1629.866,1550.5,-5.12,2.544,0.069,8.975,343,0,0,57,85.8,0.0,0.0,14.2,17.082,0.0,0.0,1516.2
73,12.958567097858566,85.75,0.0,32,0,32.588,31.01,1629.42,1550.5,-5.09,2.534,0.067,10.727,343,0,0,57,85.8,0.0,0.0,14.2,17.135,0.0,0.0,1516.2
74,13.20154655262977,85.75,0.0,30,0,32.466,31.01,1623.294,1550.5,-4.69,2.413,0.072,10.785,343,0,0,57,85.8,0.0,0.0,14.2,17.155,0.0,0.0,1516.2
75,13.262157695173846,85.75,0.0,30,0,32.395,31.01,1619.726,1550.5,-4.46,2.34,0.071,8.744,343,0,0,57,85.8,0.0,0.0,14.2,17.094,0.0,0.0,1516.2
76,11.613951170377671,85.75,0.0,42,0,33.073,31.01,1653.671,1550.5,-6.65,3.02,0.07,11.614,343,0,0,57,85.8,0.0,0.0,14.2,17.165,0.0,0.0,1516.2
77,12.170453370268802,85.75,0.0,38,0,32.841,31.01,1642.029,1550.5,-5.9,2.787,0.071,11.683,343,0,0,57,85.8,0.0,0.0,14.2,17.134,0.0,0.0,1516.2
